date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:11	2740/2740	---MCZ	200	added ('OK')	text/xml	date:Mon,%2006%20Aug%202018%2021:37:19%20GMT	http://www.makeproductions.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.makeproductions.com%2Fportfolio%2Finside-the-storm-lessons-from-the-boardroom%2F&format=xml	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-json/oembed/1.0/embed97c4	(from http://www.makeproductions.com/portfolio/inside-the-storm-lessons-from-the-boardroom/)
22:58:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20Aug%202018%2021:37:21%20GMT	http://www.makeproductions.com/?p=3861	/Users/hamish/websites/makewaves/www.makeproductions.com/indexfbcf.html	(from http://www.makeproductions.com/portfolio/north-korean-slaves/)
22:58:42	2558/2558	---MCZ	200	added ('OK')	application/json	date:Mon,%2006%20Aug%202018%2021:37:21%20GMT	http://www.makeproductions.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.makeproductions.com%2Fportfolio%2Fnorth-korean-slaves%2F	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-json/oembed/1.0/embed3c0b.json	(from http://www.makeproductions.com/portfolio/north-korean-slaves/)
22:58:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20Aug%202018%2021:58:57%20GMT	http://www.makeproductions.com/?p=3869	/Users/hamish/websites/makewaves/www.makeproductions.com/index2848.html	(from http://www.makeproductions.com/portfolio/sextortion-suicide/)
22:58:58	2693/2693	---MCZ	200	added ('OK')	text/xml	date:Mon,%2006%20Aug%202018%2021:58:55%20GMT	http://www.makeproductions.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.makeproductions.com%2Fportfolio%2Fnorth-korean-slaves%2F&format=xml	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-json/oembed/1.0/embeddd81	(from http://www.makeproductions.com/portfolio/north-korean-slaves/)
22:58:58	2561/2561	---MCZ	200	added ('OK')	application/json	date:Mon,%2006%20Aug%202018%2021:58:57%20GMT	http://www.makeproductions.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.makeproductions.com%2Fportfolio%2Fsextortion-suicide%2F	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-json/oembed/1.0/embed965f.json	(from http://www.makeproductions.com/portfolio/sextortion-suicide/)
22:59:00	2696/2696	---MCZ	200	added ('OK')	text/xml	date:Mon,%2006%20Aug%202018%2021:58:58%20GMT	http://www.makeproductions.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.makeproductions.com%2Fportfolio%2Fsextortion-suicide%2F&format=xml	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-json/oembed/1.0/embed8d05	(from http://www.makeproductions.com/portfolio/sextortion-suicide/)
22:59:02	22589/22589	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202015%2014:03:56%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/03/CancerSel-650x418.jpg	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-content/uploads/2015/03/CancerSel-650x418.jpg	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:09	42625/42625	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Nov%202015%2014:07:59%20GMT	http://www.makeproductions.com/wp-content/uploads/2015/03/Mishal-Husain-650x418.jpg	/Users/hamish/websites/makewaves/www.makeproductions.com/wp-content/uploads/2015/03/Mishal-Husain-650x418.jpg	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:10	25795/25795	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Aug%202018%2021:59:03%20GMT	http://www.makeproductions.com/portfolio/cancer-sell/	/Users/hamish/websites/makewaves/www.makeproductions.com/portfolio/cancer-sell/index.html	(from http://www.makeproductions.com/portfolio-all/page/4/)
22:59:10	25763/25763	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Aug%202018%2021:59:03%20GMT	http://www.makeproductions.com/portfolio/serial-swindlers/	/Users/hamish/websites/makewaves/www.makeproductions.com/portfolio/serial-swindlers/index.html	(from http://www.makeproductions.com/portfolio-all/page/4/)
